name,price,used_for,transmission,colour,make_year,mileage,engine_cc,fuel,kilometer_run,warranty,types
ELECTRIC CAR FOR SALE! BRAND NEW E VERITO (Mahindra),20.5,5 MONTHS,Auto 2WD,Other,2020.0,50.0,0.0,Electric,6000.0,100000KM 3 YEARS,Hatchback
Hyundai Santro Fresh 2011 (Hyundai),14.0,Persona,Manual -  2WD,Silver,2011.0,14.0,1084.0,Petrol,57560.0,Company,Sedan
golden chance 2015 model i20 active s car on sale (Hyundai),22.99999,personal,Manual -  2WD,Unknown,2015.0,15.0,1200.0,Petrol,87484.0,No Warranty,Sedan
2014 Honda City (Honda),20.99,personal,Manual 2WD,Other,2014.0,15.0,1200.0,Petrol,55000.0,No Warranty,Sedan
2014 Honda City on Sale (Honda),20.99,personal,Manual -  2WD,Other,2014.0,16.0,1200.0,Petrol,55000.0,No Warranty,Sedan
Swift ZXI 2009 9823584566 (Maruti Suzuki),14.25,14 years,Manual -  2WD,Other,2009.0,13.0,1300.0,Petrol,70000.0,No Warranty,Sedan
TATA INDIGO MANZA LX (Tata),14.0,personal,Manual -  2WD,White,2014.0,18.0,1248.0,Diesel,60000.0,No Warranty,Sedan
Sonalika tractor (Other Brands),12.5,personal,Manual 2WD,Blue,2020.0,20.0,1350.0,Diesel,42362.0,No Warranty,Sedan
Volkswagen Polo (Volkswagen),14.8,personal,Manual -  2WD,White,2012.0,15.0,1200.0,Petrol,146138.0,No Warranty,Sedan
"Swift Vxi 2017 model, single hand (Maruti Suzuki)",20.0,office,Auto 2WD,Silver,2017.0,16.0,1200.0,Petrol,35200.0,-,Sedan
2022 Kia seltos HTK+ imt semi auto (Kia),52.0,6months,Manual 2WD,White,2022.0,15.0,1500.0,Petrol,6700.0,5years company warranty,Sedan
5lakh cash ma ramro vhanda ramro gadi chahiyo? (Other Brands),5.0,personal,Manual,Unknown,2005.0,15.0,1200.0,Petrol,218690.0,No Warranty,Sedan
"Tata Motors, Winger,2017, Yellow , 14 Seats (Tata)",21.0,School,Manual 2WD,Yellow,2017.0,20.0,1948.0,Diesel,93726.0,No Warranty,Sedan
Maruti Suzuki swift (Maruti Suzuki),19.5,Office purpose,Auto 2WD,Silver,2013.0,50.0,1200.0,Petrol,47000.0,Visit check up,Sedan
hurry hurry aayo compass limited jeep xito xito xi (Jeep),80.0,personal,Manual -  2WD,White,2021.0,17.0,1956.0,Diesel,9500.0,No Warranty,Sedan
Opel corsa 1.4 (Other Brands),3.75,personal,Manual 2WD,Silver,2000.0,10.0,1400.0,Petrol,71000.0,No Warranty,Sedan
Maruti suzuki Astar (Maruti Suzuki),9.2,personal,Auto 2WD,Unknown,2009.0,15.0,1200.0,Petrol,70000.0,No Warranty,Sedan
"Nissan X-trail, 2010, beige colour, diseal (Nissan)",32.0,personal,Manual -  4WD,Other,2010.0,20.0,2000.0,Diesel,70000.0,No Warranty,Sedan
Skoda Khushaq (Skoda),55.0,16 months,Manual -  2WD,Silver,2021.0,15.0,1000.0,Petrol,24800.0,Yes,Sedan
Kia Seltos auto 2021 (Kia),57.5,2,Auto 2WD,White,2021.0,50.0,1500.0,Petrol,14500.0,1 years,Sedan
hyundai eon era + (Hyundai),11.75,9year,Manual -  2WD,Other,2013.0,15.0,800.0,Petrol,32000.0,0,Hatchback
Brezza Zxi+ Petrol 2021 Model (full Options) (Maruti Suzuki),41.25,personal,Manual -  2WD,Silver,2021.0,16.0,1500.0,Petrol,12000.0,No Warranty,Sedan
Nexon Ex. 2022 LUX 12000km only (Tata),37.0,personal,Auto -  2WD,White,2022.0,50.0,30.0,Electric,12000.0,almots 8 yrs,Hatchback
Land cruiser Prado tx (Toyota),167.0,personal,Auto 4WD,White,2016.0,16.0,2882.0,Diesel,46543.0,No Warranty,SUV
Mistubishi ls200 (Mitsubishi),76.5,2,Manual 4WD,Blue,2020.0,12.0,2400.0,Diesel,32000.0,No Warranty,Sedan
Hyundai Create 2017 Model White Color (Hyundai),33.0,5 year’s,Manual -  2WD,White,2017.0,15.0,1599.0,Petrol,70000.0,No,Sedan
terious 2008 model is for sale (Daihatsu),27.75,persional,Manual -  4WD,White,2008.0,15.0,1500.0,Petrol,71000.0,accident free,Sedan
eeco van (Maruti Suzuki),14.0,personal,Manual,Silver,2015.0,12.0,1200.0,Petrol,94471.0,No Warranty,Sedan
Vitara Brezza 2020 Zxi+ (Maruti Suzuki),40.0,2 years,Manual -  2WD,Black,2020.0,15.0,1500.0,Petrol,34000.0,3 yeara,Sedan
Baleno Zeta 2020 (Maruti Suzuki),30.0,1 year,Manual -  2WD,Blue,2020.0,18.0,1200.0,Petrol,11000.0,4 years,Sedan
Fresh Mini Jeep On Sell (Other Chinese Brands),10.05,personal,Manual -  2WD,Silver,2009.0,12.0,1300.0,Petrol,0.0,No Warranty,Sedan
Tata Yodha 2021 Model (Tata),15.0,1 year,Manual -  2WD,White,2021.0,16.0,2900.0,Diesel,45000.0,No Warranty,SUV
maruti suzuki ritz (Maruti Suzuki),12.25,6,Auto -  2WD,Gray,2010.0,15.0,1200.0,Petrol,62000.0,no,Sedan
Toyota Fortuner 2010 (Toyota),70.0,personal,Manual -  4WD,Other,2010.0,10.0,2800.0,Diesel,52000.0,No Warranty,SUV
"Maruti Suzuki Alto 800 Lxi, (Maruti Suzuki)",13.25,personal,Manual -  2WD,Red,2016.0,18.0,800.0,Petrol,42500.0,No Warranty,Hatchback
car swift ZXI (Maruti Suzuki),23.0,personal used,Auto -  2WD,Other,2016.0,15.0,1200.0,Petrol,25000.0,no warranty,Sedan
Single Handed Bolero D/c 4wd P/s 2018 For Sell (Mahindra),21.0,personal,Manual -  4WD,White,2018.0,15.0,2523.0,Diesel,59000.0,No Warranty,SUV
I 20Asta Elite (Hyundai),27.5,Years,Manual 2WD,Gray,2016.0,15.0,1200.0,Petrol,23000.0,No Warranty,Sedan
"Grand i10 magna 1.2, (Hyundai)",25.25,personal,Manual -  2WD,Silver,2019.0,15.0,1200.0,Petrol,17000.0,No Warranty,Sedan
Skoda yeti in excellent condition (Skoda),23.25,12,Manual 4WD,Black,2010.0,12.0,1.8,Petrol,72000.0,No,Hatchback
Bolero Double cab for sale (Mahindra),23.5,personal,Manual,White,2021.0,16.0,2500.0,Diesel,38416.0,No Warranty,Sedan
i20 Sportz 2010 for sale (Hyundai),15.99,11 years,Manual -  2WD,Other,2010.0,14.0,1197.0,Petrol,60500.0,No warranty,Sedan
Suzuki Omni Cargo Van 2012 Contact no. 9813293195 (Maruti Suzuki),4.2,personal,Auto 2WD,White,2012.0,18.0,800.0,Petrol,112852.0,No Warranty,Hatchback
"Hyundai i10 2011 model, Good condition (Hyundai)",15.0,1st hand drive,Manual 2WD,Blue,2011.0,15.0,1200.0,Petrol,45400.0,No Warranty,Sedan
Kia seltos HTX IVT Automatic transmission (Kia),58.0,Commercial vehicle,Auto 2WD,White,2021.0,14.0,1600.0,Petrol,8000.0,Available upto 1yr,Sedan
Fresh eco van ungent sale (Maruti Suzuki),20.75,personal,Manual -  2WD,Silver,2021.0,15.0,1200.0,Petrol,31000.0,No Warranty,Sedan
car on sale (Mahindra),29.75,companye,Manual -  2WD,Silver,2016.0,16.0,2179.0,Diesel,62370.0,no,Sedan
Ssangyong TIVOLI 2019 (1600 CC) (Ssangyong),39.9,personal,Auto -  2WD,Red,2019.0,15.0,1600.0,Petrol,38000.0,No Warranty,Sedan
Bus on sale tata 2010 kritipur to ratnapark root (Tata),7.0,personal,Manual -  4WD,Unknown,2010.0,16.0,3500.0,Diesel,147048.0,No Warranty,SUV
Suzuki Swift Zxi 2014 (Maruti Suzuki),21.0,8,Manual -  2WD,White,2014.0,18.0,1200.0,Petrol,58000.0,Engine,Sedan
tata mobil gadi on sell (Tata),3.5,work,Auto -  2WD,Blue,2007.0,7.0,1948.0,Diesel,35000.0,No Warranty,Sedan
Van (Maruti Suzuki),4.0,personal,Auto 2WD,White,2014.0,14.0,800.0,Petrol,5500.0,No Warranty,Hatchback
fresh gadi kehi problem xaina 2010 model 950000 (Mahindra),9.5,personal,Manual -  2WD,Unknown,2010.0,16.0,2500.0,Diesel,154529.0,No Warranty,Sedan
Fully Loaded Full Option Branded Car Opel Corsa (Other Brands),3.959,15 years,Manual 2WD,Silver,2000.0,15.0,1600.0,Petrol,50000.0,No Warranty,Sedan
Scorpio lx (Mahindra),23.5,personal,Manual 2WD,Green,2014.0,15.0,2200.0,Diesel,97500.0,No Warranty,Sedan
Super Fresh High Copy Of Terios 2011 Zotye 1.6 ABS (Other Chinese Brands),10.759,8 years,Manual 2WD,Blue,2011.0,15.0,1600.0,Petrol,40000.0,No Warranty,Sedan
